Date,Close,Open,High,Low,Volumn
2012-10-12,252.44,253.5,253.75,251.69,"66,985"
2012-10-15,251.44,251.6,253.14,250.77,"87,481"
2012-10-16,253.98,253.88,254.36,252.49,"66,371"
2012-10-17,256.06,255.98,257.41,255.19,"77,971"
2012-10-18,257.27,256.73,257.82,256.11,"74,109"
2012-10-19,254.79,256.45,257.12,254.3,"57,045"
2012-10-22,254.22,250.19,254.42,250.04,"70,465"
2012-10-23,251.86,254.41,254.43,251.86,"64,097"
2012-10-24,249.8,249.14,251.12,248.32,"86,820"
2012-10-25,251.72,248.68,251.72,248.37,"72,847"
2012-10-26,247.18,250.53,251.19,247.15,"71,435"
2012-10-29,247.66,248.65,249.13,246.69,"69,117"
2012-10-30,248.52,248.06,250.68,247.83,"54,963"
2012-10-31,250.18,250.42,251.11,249.83,"57,916"
2012-11-01,247.83,248.7,248.97,246.39,"80,305"
2012-11-02,251.04,250.98,251.49,250.24,"75,662"
2012-11-05,249.5,249.17,250.55,249.01,"64,360"
2012-11-06,252.3,249.97,252.33,249.57,"66,715"
2012-11-07,253.7,253.01,253.73,250.71,"72,042"
2012-11-08,250.13,250.33,251.04,249.24,"74,682"
2012-11-09,248.69,247.1,249.21,245.28,"79,109"
2012-11-12,248.18,247.87,248.58,246.91,"65,569"
2012-11-13,246.9,248.55,248.65,245.67,"75,630"
2012-11-14,247.8,247.17,247.81,245.81,"79,337"
2012-11-15,244.64,244.65,245.27,243.34,"79,078"
2012-11-16,243.45,243.88,244.92,242.9,"75,183"
2012-11-19,245.82,244.71,246.78,244.62,"54,023"
2012-11-20,247.72,248.42,248.55,247.11,"56,565"
2012-11-21,247.02,248.52,249,246.11,"61,791"
2012-11-22,249.51,248.5,250.09,248.25,"51,858"
2012-11-23,251.44,249.83,251.44,248.99,"50,340"
2012-11-26,250.73,252.26,252.31,250.45,"52,930"
2012-11-27,253.41,251.94,254.27,251.55,"75,321"
2012-11-28,251.72,251.99,252.26,250.88,"56,735"
2012-11-29,254.73,253.03,254.79,252.92,"82,948"
2012-11-30,254.25,254.45,255.95,253.79,"80,309"
2012-12-03,255.57,254.91,256.07,254.42,"55,440"
2012-12-04,254.83,254.5,255.3,253.72,"51,107"
2012-12-05,256.63,254.58,257.02,254.19,"62,416"
2012-12-06,257.27,256.97,257.85,256.39,"71,825"
2012-12-07,258.78,257.75,259.42,257.63,"68,622"
2012-12-10,259.03,260.06,260.75,258.79,"56,322"
2012-12-11,260.12,259.7,260.27,258.96,"91,603"
2012-12-12,261.67,261.19,261.67,260.54,"97,871"
2012-12-13,265.79,261.84,265.79,261.76,"110,716"
2012-12-14,264.56,263.76,265.51,263.08,"93,769"
2012-12-17,262.76,264.17,265.07,262.51,"95,349"
2012-12-18,264.23,263.76,264.23,262.27,"98,468"
2012-12-20,264.78,265.36,265.98,263.72,"130,590"
2012-12-21,261.89,265.45,265.46,261.22,"101,255"
2012-12-24,262.11,262.39,262.72,261.32,"69,269"
2012-12-26,261.97,263.61,264.91,261.94,"70,567"
2012-12-27,262.68,261.64,262.83,260.45,"61,699"
2012-12-28,263.92,262.27,264.83,262.25,"64,398"
2013-01-02,269.16,266.24,269.51,266.1,"91,361"
2013-01-03,267.52,270.54,270.74,267.45,"149,954"
2013-01-04,266.14,267.23,267.46,264.74,"103,702"
2013-01-07,265.97,266.12,266.43,263.87,"76,679"
2013-01-08,263.95,264.81,265.87,263.95,"81,344"
2013-01-09,262.9,264.48,265.42,262.53,"83,538"
2013-01-10,264.95,263.09,265.25,262.13,"96,078"
2013-01-11,263.32,266.47,266.58,261.49,"103,871"
2013-01-14,264.8,262.84,264.8,262.18,"123,546"
2013-01-15,261.43,264.82,266.21,261.43,"129,604"
2013-01-16,260.49,262.07,263.34,259.42,"109,605"
2013-01-17,260.1,261.44,261.88,258.65,"91,560"
2013-01-18,261.71,262.02,262.08,260.08,"98,805"
2013-01-21,261.3,261.59,262.25,259.36,"80,472"
2013-01-22,262.91,261.25,263.35,260.79,"97,431"
2013-01-23,261.1,264.04,264.83,261.1,"107,086"
2013-01-24,258.74,259.69,260.99,258.15,"83,484"
2013-01-25,256.06,258.94,259.06,254.62,"79,571"
2013-01-28,254.66,255.01,255.43,253.49,"81,351"
2013-01-29,257.22,255.69,257.66,255.42,"79,502"
2013-01-30,258.47,258.08,258.85,256.42,"89,959"
2013-01-31,258.07,257.71,258.44,256.94,"89,008"
2013-02-01,257.64,258.57,259.01,255.48,"80,952"
2013-02-04,256.89,259.28,259.35,256.77,"76,363"
